,salary
110976,200495.1
111275,200471.7
111198,200331.15
110860,200308.31
111195,200284.65
111463,200228.93
111166,200211.09
111175,200143.66
111285,200133.63
110928,200049.52
111286,200011
111248,199951.85
111231,199936.86
110846,199916.1
110849,199916.07
110839,199916.02
110840,199916.01
110844,199916.01
110850,199916.01
111253,199904.06
110848,199830.08
111440,199810.17
111001,199807.01
111002,199807
111302,199786.33
110842,199698.57
111305,199685.98
111310,199630.49
111202,199615.45
111308,199610.86
111066,199543.2
111218,199500.01
111224,199470.33
111363,199463.08
111035,199458.92
111385,199438.4
111278,199418.16
111299,199377.93
111328,199350.57
111316,199296.74
111112,199231.4
111118,199230.51
111239,199222.59
111332,199150.94
110987,199104
110868,199000.04
111029,198997.24
110994,198939.1
111028,198874
111006,198748.7
111389,198688.2
111240,198307.8
111122,198300.62
111454,198259.49
111205,198259.03
111230,198191.95
110874,198109.18
111220,198104.36
111247,197944.44
111334,197942.99
111482,197835.29
111964,197771.51
111245,197765.88
111059,197728.31
111242,197673.19
111099,197664.66
111358,197647.93
111287,197642.75
111758,197504.55
111056,197498.14
111265,197422.65
111053,197303.68
111047,197264.22
111351,197256.8
111371,197247.87
111374,197188.35
111065,197119.5
111381,197063.5
111344,197061.92
111069,197057.37
111129,197054.2
111346,197014.34
111320,196900.86
111170,196880.56
111070,196855.8
111071,196855.78
111072,196855.78
111078,196855.77
111073,196855.77
111075,196855.77
111076,196855.76
111074,196855.76
111077,196855.76
111079,196855.74
111080,196851.69
111081,196851.68
111082,196851.67
110871,196839.44
111085,196793.29
111086,196793.27
111087,196793.27
111088,196793.27
111369,196793.27
111089,196793.26
111091,196793.25
111090,196793.25
111194,196698.1
111098,196585.47
111342,196573.26
111100,196540.66
111269,196486.1
111590,196454.39
111272,196437.68
111392,196312.12
111276,196301.86
110878,196291.11
111274,196214.89
111293,196178.18
111388,196169.89
111277,196149.78
111361,196067.69
111792,195898.76
111068,195838.55
111114,195725.06
111387,195720.31
111204,195714.93
111139,195684.23
110929,195626.74
110941,195616.93
111420,195605.23
111396,195588.65
111120,195543.38
111399,195478.74
111141,195466
111393,195449.13
111160,195448.56
111326,195425.65
111110,195310.05
110960,195227.21
111130,195202.57
111619,195197.53
111431,195195.57
111660,195168.98
111622,195160.22
111236,195132.41
111614,195054.65
111360,195047.18
111348,195041.1
111460,195027.53
110956,194994.09
111424,194980.26
110946,194970.63
111367,194955.78
111442,194946.36
110947,194930.92
111138,194905.01
111331,194891.36
111632,194886.61
111747,194712.44
111325,194658.21
111222,194629.81
111435,194616.97
111397,194602.95
111174,194574.74
111372,194494.98
110969,194456.24
111353,194392.95
111306,194361.74
111437,194344.13
111246,194330.04
111452,194271.2
111602,194257.33
111345,194238.06
111163,194151.33
111319,194145.24
111569,194026.55
110990,194008.42
110979,193994.52
111453,193824.94
111252,193795.53
111356,193749.44
111370,193576.64
111780,193502.46
111465,193484.95
111341,193430.99
111324,193370.72
111298,193296.53
111644,193284.1
111378,193276.75
111200,193274.59
111677,193256.4
111327,193230.59
110981,193224.42
111249,193219.49
111176,193165.8
111478,193163.88
111649,193091.57
111133,193085.02
111153,193065.6
111154,193065.6
111667,193047.96
111178,193021.53
111179,193021.52
111180,193021.52
111181,193021.51
111182,193021.51
111183,193021.51
111184,193021.5
111167,192997.21
111185,192959.07
111186,192959.05
111187,192959.05
111188,192959
111870,192953.56
111574,192934.14
111189,192920.02
112264,192771.43
111226,192761.93
111225,192718.08
111456,192703.6
111159,192696.94
111418,192588.04
111288,192570.4
111578,192556.86
111577,192535.5
111409,192511.82
111765,192502.13
111573,192482.6
111475,192477.31
111382,192347.11
111193,192320.92
111206,192293.2
111580,192215.34
111406,192157.36
111004,192100.35
111216,192094.12
111761,192006.97
111294,191957.89
111405,191956.84
111281,191935.94
111689,191892.02
111603,191868.96
112555,191826.62
111783,191674.2
111778,191662.31
111656,191638.47
111364,191549.74
111606,191539.31
111801,191538.32
111568,191470.09
112352,191446.1
111787,191433.88
111232,191431.61
111417,191427.1
111626,191426.04
111330,191403.05
111582,191233.33
111618,191232.52
111400,191222.14
111312,191212.38
111267,191086.6
111772,191076.35
112345,191054.94
111458,190991.03
111414,190970.58
111789,190969.79
111629,190961.12
111601,190938.47
111421,190910.71
111962,190897.74
111612,190868.08
111795,190823.94
111048,190783.03
111237,190731.57
111596,190724.62
111583,190643.5
111439,190632.66
111407,190625.27
111605,190617.61
111423,190617.41
111967,190610.38
111284,190606.21
111840,190575.9
111781,190513.64
111309,190437.81
111595,190435.63
111213,190424.86
111043,190339.26
111430,190330.37
111687,190270.76
111256,190189.1
111255,190189.04
111257,190189.04
111258,190189.04
111259,190189.03
111261,190189.03
111260,190189.02
111262,190189
111651,190173.34
111264,190159.75
111016,190116.69
111227,190067.65
111365,190049.83
111062,190047.46
111413,190029.76
112007,190014.48
111462,190013.48
111592,189982.7
111338,189835.1
111666,189790.85
111116,189708.28
111805,189649.9
111476,189640.91
111296,189637.89
111934,189630.64
111304,189587.74
111092,189581.76
111063,189581.69
111604,189524.19
111450,189522.51
111359,189504.5
111636,189500.8
111672,189399.45
111279,189344.11
111280,189344.08
111665,189311
111513,189279.39
111661,189274.62
111266,189243.34
111664,189194.31
111211,189178.06
111207,189178.02
111208,189178
111209,189178
111210,189178
111357,189167.22
111212,189149.52
111214,189126.07
111555,189110.83
111477,189102.79
111926,189090.41
112296,189067.92
111322,189064.22
111675,189042.33
111290,189017
111834,189004.03
111419,188991.68
111682,188968.91
111349,188952.54
111471,188935.44
111313,188925.02
111368,188882.53
111728,188825.48
111315,188824.25
111164,188696.85
111883,188675.75
111271,188610.24
111576,188592.02
111311,188560.76
111691,188555.35
111608,188554.68
111907,188552.5
111469,188525.02
111103,188499.47
111481,188409.66
111730,188388.8
111270,188350.8
111570,188312.22
111593,188302.36
111828,188273.7
111768,188266.67
111433,188254.92
111906,188214.98
111318,188189.15
111589,188184.84
112139,188177.6
111831,188141.19
111565,188139.83
111902,188138.33
111673,188112.6
111113,188080.25
111126,188058.54
111754,188044.75
111455,188040.3
111579,187968.49
111362,187927.87
111763,187904.56
111766,187895.55
111776,187817.88
111125,187794.65
111329,187775.05
111585,187694.56
111890,187680.67
111594,187635.28
111144,187571.04
111093,187571
111101,187571
111127,187571
111128,187571
111145,187571
111147,187563.45
111148,187546.19
111149,187544.95
111937,187528.18
111131,187515.77
111132,187515.74
111785,187484.63
111753,187470.34
111767,187446.64
111740,187427
111373,187373.7
111770,187308.18
111796,187282.89
111161,187254.76
111158,187210.93
112118,187183.44
111679,187178.11
111775,187172.55
111759,187153.97
111954,187109.98
111598,186931.37
111404,186851.7
111621,186847.54
111670,186798.55
111957,186775.9
111609,186704.5
111366,186677.07
111642,186592.46
111928,186588.04
111743,186582.39
111786,186535.99
111903,186531.88
111610,186507.22
111631,186445.12
111171,186411.29
111653,186347.13
111804,186338.45
111620,186330.53
111809,186328.29
111908,186327.46
111283,186305.29
111956,186259.9
111376,186242.06
111380,186242.04
112883,186237.42
111777,186227.58
111784,186191.17
111811,186119.87
111685,185993.43
111959,185960.09
111970,185888.29
111377,185870.8
111678,185867.04
111818,185843.36
111297,185836.27
111819,185828.51
111824,185802.24
111669,185765.18
111686,185757.7
111914,185713.87
111352,185700.17
111951,185685.79
111639,185618.72
111813,185602.96
111822,185567.63
111317,185477.15
111835,185466.08
111853,185437.54
111567,185423.79
111443,185423.06
111197,185411.39
111668,185406.18
111844,185398.27
111987,185382.06
111307,185379.5
111924,185324.2
111846,185313.77
111566,185283.53
111408,185274.01
111874,185231.52
111340,185184.89
111203,185161.72
111350,185142.83
111852,185136.77
111860,185088.99
112197,185064.32
111953,185060.3
111445,185054.27
111869,185037.87
111859,184946.27
111588,184904.58
111444,184881.08
111215,184872.41
111219,184872.4
112004,184808.32
111451,184782.53
111845,184772.2
111658,184693.01
111750,184669.88
112012,184633.25
111336,184624.69
111683,184544.23
111335,184532.74
111587,184515.47
111933,184498.58
111600,184387.12
111862,184376.47
111842,184331.31
111904,184286.84
111886,184188.54
112116,184179.21
111887,184166.64
111872,184160.17
111757,184146.06
111832,184134.77
111901,184110.07
111895,184076.19
111238,184023.78
111915,184006.97
112042,184003.69
111457,183979.02
111891,183954.1
111551,183928.36
111403,183872
111459,183795.73
111998,183756.25
111466,183755.52
111892,183700.91
111694,183683.96
111473,183575.84
111756,183562.61
111995,183554.58
111562,183520.06
111823,183519.34
111910,183510.84
112244,183393.57
112052,183344.54
111919,183290.6
112000,183232.41
111480,183224.2
111383,183200.03
111512,183174.52
111485,183174.51
111484,183174.5
111486,183174.49
111487,183174.49
111489,183174.48
111490,183174.47
111488,183174.47
111491,183174.46
111494,183174.46
111999,183174.46
111493,183174.45
111492,183174.45
111495,183174.45
111496,183174.45
111483,183174.44
111497,183174.44
111498,183174.44
111499,183174.44
111500,183174.43
111501,183174.43
111502,183174.43
111504,183174.43
111511,183174.43
111503,183174.42
111505,183174.42
111506,183174.42
111507,183174.42
111508,183174.42
111509,183174.42
111510,183174.4
111693,183137.28
111515,183112
111514,183112
111516,183111.99
111518,183111.98
111519,183111.97
111517,183111.97
111521,183111.97
111523,183111.97
111520,183111.97
111522,183111.96
111524,183111.96
111525,183111.96
111526,183111.96
111528,183111.95
111529,183111.95
111538,183111.95
111527,183111.94
111530,183111.94
111531,183111.94
111532,183111.94
111533,183111.94
111534,183111.94
111541,183111.93
111535,183111.93
111536,183111.93
111537,183111.93
111539,183111.93
111540,183111.93
111542,183111.93
111543,183111.93
111544,183111.93
111545,183111.92
111546,183111.92
111547,183111.92
111548,183111.92
111549,183111.91
111550,183111.91
112023,183109.81
111800,183098.18
111923,183094.23
112092,183077.63
111552,183068.39
111554,183067.05
111386,183065.84
111390,183052.2
111556,183040.33
111438,182994.06
111558,182977.86
111559,182977.83
111560,182977.82
111436,182953.82
111472,182946.68
111803,182918.46
111662,182889.98
111949,182880.37
111263,182873.68
111935,182814.63
111760,182813.15
112310,182796.83
111936,182764.99
111755,182732.37
111571,182707
111791,182624.38
112115,182618.35
111663,182612.74
112160,182509.91
112353,182504.27
111946,182501.25
111940,182484.05
112221,182481.46
111611,182461.22
111229,182454.81
111584,182372.51
111282,182316.6
111799,182316.05
111586,182254.9
111233,182250.71
111633,182208.27
111415,182181.07
111591,182165.37
112184,182139.33
111963,182098.95
111617,182006.14
111955,182000.22
111945,181937.16
113083,181922.43
112112,181916.31
111752,181898.72
113006,181898.09
111847,181870.36
111996,181841.03
111434,181820.7
111441,181774.61
112144,181759.76
111982,181740.18
112166,181732.95
111607,181680.71
111960,181617.42
111816,181602.09
111635,181589.57
112114,181582.64
111994,181573.98
111830,181561.55
111616,181556.68
112218,181521.53
112041,181509.51
111645,181509.12
112099,181482.13
112177,181481.78
111615,181481.44
112360,181431.1
111972,181414.78
111300,181403.91
111681,181378.9
111643,181350.37
111623,181344.67
111624,181333.9
111303,181294.53
111292,181289.02
111971,181281.12
111810,181262.45
111790,181249.66
111969,181247.53
112121,181240.63
112204,181216.16
111627,181207.9
111628,181207.89
111295,181187.63
111641,181107.87
111888,181091.78
111836,181063.9
112159,181047.87
111991,181005.81
111939,181005.74
112183,180929.66
112294,180880.09
111918,180857.82
112014,180803.68
112008,180752.16
111273,180678.61
112050,180674.89
112013,180648.54
111655,180618.28
111654,180617.03
111873,180609.79
112053,180605.17
112176,180601.3
111657,180587.68
111993,180571.99
111814,180552.13
112018,180524.46
111659,180509.02
112026,180418.96
112120,180418.76
112020,180415.02
111863,180385.85
111897,180371.22
111564,180368.44
112028,180362.21
112040,180353.01
112017,180301.64
111731,180294.24
112039,180278.61
111561,180236.43
111749,180230.74
112006,180222.07
111857,180213.79
112235,180155.79
111745,180131.69
112010,180086.73
111674,180067.02
111343,180041.44
111921,179944.58
112071,179941.31
111966,179936.54
112005,179888.7
112027,179885.57
111916,179871.58
112097,179823.59
112258,179821.71
111849,179775.01
112401,179770.92
111354,179759.92
111732,179749.29
112230,179721.53
112079,179690.57
111826,179685.42
112024,179663.15
111575,179644.52
111927,179637.82
111695,179608.56
111696,179608.56
111697,179608.55
111700,179608.54
111741,179608.54
111698,179608.53
111699,179608.53
111701,179608.53
111702,179608.53
111703,179608.53
111704,179608.53
111708,179608.53
111705,179608.52
111706,179608.52
111707,179608.52
111727,179608.52
111709,179608.51
111710,179608.51
111712,179608.51
111714,179608.51
111634,179608.5
111711,179608.5
111713,179608.5
111715,179608.5
111716,179608.5
111717,179608.5
111718,179608.5
111719,179608.5
111720,179608.5
111721,179608.5
111722,179608.5
111723,179608.5
111724,179608.5
111725,179608.5
111726,179608.5
112276,179599.31
112209,179590.08
112357,179568.68
112133,179546.06
111637,179546.03
111733,179546.03
111734,179546.03
111735,179546.03
111736,179546.02
111737,179546.02
111738,179546.01
111739,179546.01
111638,179546
112259,179443.81
111979,179430.86
111347,179416.33
111744,179410.69
111746,179352.05
111925,179348.79
112243,179337.72
111821,179301.35
111896,179296.62
111375,179270.46
111680,179230.13
112060,179215.63
112123,179204.76
115164,179203.29
112078,179200
111751,179159
112274,179158.04
111988,179136.83
112533,179127.1
112072,179108.34
112301,179046.76
111384,179041.55
111917,179037.37
112266,179027.82
112509,179023.9
111911,179004.14
111762,178984.3
112081,178967.11
112098,178963.45
111729,178950.03
111676,178921.6
111379,178869.32
111812,178799.91
111355,178715.86
111948,178701.76
111771,178651.5
111855,178636.51
113379,178528.74
112202,178521.05
111779,178502.01
111774,178447.83
112104,178417.89
112128,178413.32
112132,178412.94
112109,178351.88
111630,178343.58
111793,178327.93
112102,178315.07
112382,178307.96
112108,178294.4
112105,178268.86
111794,178267.7
112138,178264.71
112088,178256.84
111851,178242.79
112425,178217.55
112342,178204.2
115072,178203.57
112137,178105.91
112058,178103.73
111798,178075.52
111893,178061.58
112077,178060.95
112117,178044.27
112140,178006.74
111898,177985.14
111394,177984.03
112135,177975.53
112330,177961.25
111647,177925.04
111646,177925.02
111395,177914.41
112142,177871.85
111773,177864.95
112179,177858.64
111422,177851.63
112095,177850.49
112119,177832.78
111425,177815.03
111426,177810.81
111401,177781.21
111974,177763.6
111922,177746.27
111977,177733.06
112169,177720.67
112343,177713.94
111952,177637.52
112370,177612.65
112368,177610.1
111429,177599.11
111410,177598.88
111748,177584.88
112348,177571.23
111599,177560.03
111769,177541.87
111411,177534.42
112025,177505.43
111976,177447.7
112174,177308.88
111868,177306.66
112518,177291.87
112524,177287.16
112364,177277.17
111427,177266.26
112224,177263.64
111817,177257.95
112231,177253.72
111742,177250.72
112163,177184.19
112113,177181.76
112304,177178.85
112435,177143.97
111825,177135.48
112355,177121.84
112186,177112.16
112377,177111.15
112373,177090.63
111446,177076.33
111432,177037.08
112472,177031.71
112317,176984.8
111958,176932.27
111920,176931.04
112019,176917.34
112211,176870.16
112111,176866.39
112199,176857.28
111992,176846.84
112406,176830.11
112089,176807.17
112203,176803.46
112168,176794.26
112499,176780.6
111932,176772.42
112200,176761.76
112303,176720
112178,176702.91
111861,176692.45
112002,176651.59
112030,176643.7
112356,176554.72
111468,176517.19
112212,176489
111447,176484.05
111448,176484.05
111470,176484.04
111416,176484
111398,176473.15
112409,176471.78
111449,176470.18
112206,176450.58
111983,176441.77
112219,176441.49
112205,176433.57
111978,176409.26
111841,176320.27
112217,176272.82
112237,176226.7
112234,176183.33
111461,176167.55
112415,176126.78
111871,176113.9
111807,176106.84
112440,176077.28
111867,176069.06
111875,176069.05
111412,176069.04
111876,176069.04
111877,176069.03
111878,176069.03
111864,176069.01
111879,176069.01
111880,176069
111881,176069
111882,176069
111941,176037.63
113657,176033.99
112426,176024.61
112242,176023.47
111884,176014.9
111889,175949.03
112287,175880.16
112246,175870.7
111899,175815.77
111563,175813.64
111474,175807.11
111808,175799.99
112057,175776.8
112311,175734.48
111479,175729.46
111973,175715.79
112438,175700.66
112447,175681.5
112247,175660.11
112003,175649.78
112290,175604.23
112080,175582.46
112445,175571.28
112175,175567.08
112436,175555.24
112061,175542.56
112001,175500.93
112400,175492.79
112256,175490.35
111572,175462.53
112249,175435.08
111553,175422.94
112431,175416.43
111838,175406.62
111837,175374.65
112254,175369.45
111894,175334.4
112455,175297.36
112191,175256.56
112134,175215.01
112229,175205.37
111581,175202.73
112086,175202.52
111929,175177.23
112459,175150.56
112277,175129.18
112143,175124.18
111467,175109.49
112297,175086.86
112460,175081.55
112015,175077.62
112044,175077.34
111848,175048.07
111854,175037.9
112414,175032.14
112103,174983.61
112740,174983.12
112466,174972.8
112321,174963.07
111975,174961.12
113709,174942.39
112252,174933.31
112281,174927.19
112498,174873.07
112046,174843.56
112101,174814.56
112272,174802.12
112285,174798.63
112395,174749.22
112022,174727
112125,174717.29
112295,174689.8
111815,174687.07
112429,174603.42
112275,174587.92
112291,174573.11
112271,174565.03
111947,174563.52
112361,174523.84
112531,174512.44
112430,174492.66
112299,174440.35
111557,174427.6
111931,174369.78
112767,174323.13
112309,174280.11
112308,174217.66
111597,174210.64
112314,174186.72
112260,174171.14
112527,174162.41
112293,174138.96
112333,174116.31
112325,174077.28
112196,174075.02
112522,174054.05
112534,174021.45
112477,173990.86
111961,173985.48
112659,173976.93
112059,173951.3
112172,173918.21
111613,173872.25
112622,173834.74
112106,173811.06
112282,173805.59
111843,173787.04
112331,173770.32
112298,173724.06
112313,173710.33
112318,173707.02
111625,173688.28
112372,173680.68
112367,173676.03
112760,173653.64
112286,173620.91
113839,173572.38
112320,173558.37
112346,173548.95
111997,173529.05
112265,173522.57
112585,173514.46
112578,173511.43
112865,173485.34
112173,173484.9
111981,173463.2
112514,173453.2
112038,173452.79
112284,173432.27
112273,173427.41
112540,173382.99
111640,173374.56
112720,173370.91
112236,173332.99
112021,173326.94
112315,173324.15
112362,173309.13
112553,173299.6
112327,173263.84
111990,173249.81
112545,173230.15
112045,173224.48
112341,173174.08
112344,173168.98
112380,173131.35
111989,173108.54
112375,173088.37
112653,173073.48
111650,173045.18
111652,173019.41
111671,173019.41
111648,173019.37
112187,173016.28
112389,173007.68
112417,172971.12
112347,172971.02
112568,172966.35
112100,172960.34
112371,172936.42
111912,172932.99
112289,172880.59
112253,172817.1
112388,172796.94
112073,172771.64
112561,172750.89
112210,172725.05
112162,172673.3
111684,172647.3
112351,172580.6
112565,172573.22
112386,172558.95
112580,172540.74
111690,172532.84
112213,172500.11
111938,172490.2
112214,172485.66
112228,172409.1
112597,172392.36
112359,172383.71
112624,172374.7
111692,172347.51
112439,172239.91
112180,172221.3
112227,172176.23
112538,172132.66
112201,172090.47
112411,172063.43
111984,172063.21
112387,172054.34
112791,172043.47
112413,172039.11
112240,172035.94
112392,172034.8
112283,172023.51
112571,172007.15
112550,171994.61
112655,171948.87
112628,171920.13
112631,171854.94
112404,171819.3
112487,171786.89
112182,171760.15
112635,171759.68
112216,171740.83
112215,171732.52
112410,171658.37
112868,171657.43
112780,171607.96
